City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,mananjary,MG,83.77,overcast clouds,-21.2167,48.3333,Vahiny Lodge
563,paita,PE,70.79,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
564,luanda,AO,82.4,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
565,zastron,ZA,75.15,scattered clouds,-30.3023,27.084,Highlands Guest House
567,kruisfontein,ZA,73.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
571,vao,NC,75.74,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
575,mahanoro,MG,82.47,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
577,lantawan,PH,86.0,broken clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
583,soure,BR,78.04,broken clouds,-0.7167,-48.5233,Casarão
592,singaparna,ID,79.47,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
597,malur,IN,89.6,clear sky,13.0075,77.9378,RG Hotels and Resort
603,moerai,PF,78.78,overcast clouds,-22.4333,-151.3333,Le Manotel
605,buraydah,SA,84.2,broken clouds,26.326,43.975,فندق راحة السلام
607,xambioa,BR,72.66,overcast clouds,-6.4111,-48.5364,Pousada Do Sol
609,galesong,ID,86.0,scattered clouds,-5.3166,119.3661,Sapriadi Appy
613,daru,PG,79.86,moderate rain,-9.0763,143.2092,Daru Lodge
616,makat,KZ,80.44,clear sky,47.6469,53.3463,Umit
617,samarai,PG,78.66,light rain,-10.6167,150.6667,Nuli Sapi
618,tual,ID,81.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
620,rio grande,BR,70.0,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
625,gboko,NG,89.22,broken clouds,7.3179,8.9951,Mavillah Apartment and Suites
626,lhokseumawe,ID,85.66,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
627,cravo norte,CO,74.95,light rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
629,saint-pierre,RE,84.2,moderate rain,-21.3393,55.4781,Lindsey Hôtel
631,kigoma,TZ,77.0,moderate rain,-4.8769,29.6267,Kigoma Hilltop Hotel
640,progreso,MX,78.8,broken clouds,21.2833,-89.6667,Playa Linda Hotel
643,candido mendes,BR,73.13,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
647,eirunepe,BR,71.55,overcast clouds,-6.6603,-69.8736,Atrás de você
650,mont-dore,NC,79.0,light rain,-22.2833,166.5833,GIte
652,coolum beach,AU,77.0,clear sky,-26.5333,153.1,Palmer Coolum Resort
657,farafangana,MG,83.03,scattered clouds,-22.8167,47.8333,Miarina
660,kloulklubed,PW,87.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
663,maceio,BR,73.4,scattered clouds,-9.6658,-35.7353,Poutur Pousada
665,hirara,JP,75.2,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
671,tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
673,puerto suarez,BO,73.6,scattered clouds,-18.95,-57.8,Hotel casa real
676,poli,TZ,73.4,light rain,-3.3333,36.8,Urafiki House
679,kudahuvadhoo,MV,82.87,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
681,cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
683,jaffna,LK,87.06,few clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
686,nabire,ID,78.03,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
690,arima,TT,78.01,broken clouds,10.6333,-61.2833,Refine Home Style Ltd.
